Day,AverageMovement
306,-0.7480000000%
307,-0.5016666667%
308,-0.9871428571%
309,1.2500000000%
310,-0.0233333333%
311,-0.0100000000%
312,-0.5800000000%
313,-1.4940000000%
314,-0.8583333333%
315,0.9171428571%
316,-0.6314285714%
317,-0.1733333333%
318,-0.1420000000%
319,-1.6425000000%
320,-0.0020000000%
321,1.6433333333%
322,0.3214285714%
323,-0.9228571429%
324,0.6900000000%
325,-1.0380000000%
326,-2.6175000000%
327,-0.3500000000%
328,0.4700000000%
329,-0.2914285714%
330,0.4628571429%
331,0.1266666667%
332,0.8860000000%
333,1.1650000000%
334,0.7033333333%
335,-0.9700000000%
336,-1.2657142857%
337,0.1714285714%
338,0.9033333333%
339,-0.3840000000%
340,0.2775000000%
341,0.3000000000%
342,-0.1350000000%
343,0.9614285714%
344,0.0600000000%
345,0.0333333333%
346,0.4760000000%
347,-0.5850000000%
348,-0.9140000000%
349,1.1283333333%
350,-0.7085714286%
351,0.5714285714%
352,0.2816666667%
353,1.0300000000%
354,-1.8366666667%
355,0.5325000000%
356,2.5050000000%
357,-0.5200000000%
358,-0.4428571429%
359,0.3050000000%
360,0.7220000000%
361,-0.7225000000%
